Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	Wes teases me more than Fred does. Wes did not tease me, let alone Fred.	Wes teases me more than Fred does. Wes teases me, let alone Fred.	tensor(2.7007)	tensor(1.3321)	Y
2	Wes teases me less than Fred does. Fred did not tease me, let alone Wes.	Wes teases me less than Fred does. Fred teases me, let alone Wes.	tensor(3.2373)	tensor(2.3802)	Y
3	Wes comforts me more than Fred does. Wes did not comfort me, let alone Fred.	Wes comforts me more than Fred does. Wes comforts me, let alone Fred.	tensor(1.6572)	tensor(1.8134)	N
4	Wes comforts me less than Fred does. Fred did not comfort me, let alone Wes.	Wes comforts me less than Fred does. Fred comforts me, let alone Wes.	tensor(1.9871)	tensor(1.5145)	Y
5	Wes teaches me more than Fred does. Wes did not teach me, let alone Fred.	Wes teaches me more than Fred does. Wes teaches me, let alone Fred.	tensor(1.5478)	tensor(1.2881)	Y
6	Wes teaches me less than Fred does. Fred did not teach me, let alone Wes.	Wes teaches me less than Fred does. Fred teaches me, let alone Wes.	tensor(1.8389)	tensor(2.1476)	N
7	Wes learns from me more than Fred does. Wes did not learn from me, let alone Fred.	Wes learns from me more than Fred does. Wes learns from me, let alone Fred.	tensor(1.8723)	tensor(1.2916)	Y
8	Wes learns from me less than Fred does. Fred did not learn from me, let alone Wes.	Wes learns from me less than Fred does. Fred learns from me, let alone Wes.	tensor(2.2677)	tensor(2.2259)	Y
9	Wes helps me more than Fred does. Wes did not help me, let alone Fred.	Wes helps me more than Fred does. Wes helps me, let alone Fred.	tensor(1.7138)	tensor(0.9894)	Y
10	Wes helps me less than Fred does. Fred did not help me, let alone Wes.	Wes helps me less than Fred does. Fred helps me, let alone Wes.	tensor(2.1023)	tensor(1.6184)	Y
11	Wes hinders me more than Fred does. Wes did not hinder me, let alone Fred.	Wes hinders me more than Fred does. Wes hinders me, let alone Fred.	tensor(2.1782)	tensor(1.6914)	Y
12	Wes hinders me less than Fred does. Fred did not hinder me, let alone Wes.	Wes hinders me less than Fred does. Fred hinders me, let alone Wes.	tensor(2.5687)	tensor(1.8177)	Y
13	Wes cooperates with me more than Fred does. Wes did not cooperate with me, let alone Fred.	Wes cooperates with me more than Fred does. Wes cooperates with me, let alone Fred.	tensor(2.7851)	tensor(2.0156)	Y
14	Wes cooperates with me less than Fred does. Fred did not cooperate with me, let alone Wes.	Wes cooperates with me less than Fred does. Fred cooperates with me, let alone Wes.	tensor(3.4999)	tensor(2.9193)	Y
