Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	I would have needed to get up earlier in order to cook breakfast than to eat lunch. I barely got up in time to eat lunch, let alone cook breakfast.	I would have needed to get up earlier in order to cook breakfast than to eat lunch. I barely got up in time to eat lunch, alone let cook breakfast.	tensor(126.5099)	tensor(138.5487)	Y
2	It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid. I doubt you could get Fred to eat shrimp, let alone Louise squid.	It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid. I doubt you could get Fred to eat shrimp, alone let Louise squid.	tensor(174.2332)	tensor(177.6981)	Y
3	I would've needed to be even older to have served in World War One than to have served in World War Two. I was too young to serve in World War Two, let alone World War One.	I would've needed to be even older to have served in World War One than to have served in World War Two. I was too young to serve in World War Two, alone let World War One.	tensor(151.1279)	tensor(162.5187)	Y
4	Going barefoot is generally less likely to be a crime than walking around naked. Look, around here you can get arrested for going barefoot, let alone for walking around naked.	Going barefoot is generally less likely to be a crime than walking around naked. Look, around here you can get arrested for going barefoot, alone let for walking around naked.	tensor(172.0031)	tensor(184.7882)	Y
5	Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke. Don't worry. Little Seymour's parents let him drink whiskey, let alone coke.	Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke. Don't worry. Little Seymour's parents let him drink whiskey, alone let coke.	tensor(187.9854)	tensor(199.8597)	Y
6	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred to eat squid, let alone Louise.	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred to eat squid, alone let Louise.	tensor(135.6216)	tensor(141.2183)	Y
7	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred, let alone Louise, to eat squid.	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred, alone let Louise, to eat squid.	tensor(144.6655)	tensor(149.0529)	Y
8	Fred is even less likely to eat squid than he is to eat shrimp. My observations warrant the inference that Fred will not eat shrimp, let alone squid.	Fred is even less likely to eat squid than he is to eat shrimp. My observations warrant the inference that Fred will not eat shrimp, alone let squid.	tensor(164.2969)	tensor(175.7216)	Y
9	It is even less likely that he made General in World War Two than he made Colonel. I doubt he made Colonel in World War II, let alone General.	It is even less likely that he made General in World War Two than he made Colonel. I doubt he made Colonel in World War II, alone let General.	tensor(149.2552)	tensor(153.8289)	Y
10	Liking shrimp is more common than liking squid. He doesn't like shrimp, let alone squid.	Liking shrimp is more common than liking squid. He doesn't like shrimp, alone let squid.	tensor(109.9404)	tensor(124.0013)	Y
11	Doing such a thing would be even more unbelievable than imagining it. Who could imagine such a thing, let alone do it?	Doing such a thing would be even more unbelievable than imagining it. Who could imagine such a thing, alone let do it?	tensor(104.8062)	tensor(119.7174)	Y
12	I would want to read a book written by that swine even less than I would want to read an article about them. I don't even want to read an article about, let alone a book written by, that swine.	I would want to read a book written by that swine even less than I would want to read an article about them. I don't even want to read an article about, alone let a book written by, that swine.	tensor(157.2084)	tensor(173.8415)	Y
13	Getting Lucille to eat it would be even more challenging than getting John to touch it. You couldn't get John to touch it, let alone Lucille to eat it.	Getting Lucille to eat it would be even more challenging than getting John to touch it. You couldn't get John to touch it, alone let Lucille to eat it.	tensor(140.7324)	tensor(148.6042)	Y
14	Max is even less likely to eat squid than he is to eat shrimp. Max won't eat shrimp, let alone squid.	Max is even less likely to eat squid than he is to eat shrimp. Max won't eat shrimp, alone let squid.	tensor(114.2010)	tensor(126.9451)	Y
15	Max is even less willing to clean the squid than he is to touch the shrimp. Max won't touch the shrimp, let alone clean the squid.	Max is even less willing to clean the squid than he is to touch the shrimp. Max won't touch the shrimp, alone let clean the squid.	tensor(132.2748)	tensor(143.5702)	Y
16	Getting John to eat the shrimp would be easier than getting Lucille to eat the squid. They couldn't make John eat the shrimp, let alone Lucille the squid.	Getting John to eat the shrimp would be easier than getting Lucille to eat the squid. They couldn't make John eat the shrimp, alone let Lucille the squid.	tensor(169.9567)	tensor(178.3581)	Y
17	He is less likely to give ten dollars to a complete stranger than he is to give a nickel to his mother. He wouldn't give a nickel to his mother, let alone ten dollars to a complete stranger.	He is less likely to give ten dollars to a complete stranger than he is to give a nickel to his mother. He wouldn't give a nickel to his mother, alone let ten dollars to a complete stranger.	tensor(152.6790)	tensor(161.4062)	Y
18	Moishe is less likely to eat squid than shrimp. Shrimp Moishe won't eat, let alone squid.	Moishe is less likely to eat squid than shrimp. Shrimp Moishe won't eat, alone let squid.	tensor(137.8963)	tensor(150.6216)	Y
19	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. They've broken up Penutian, let alone Macro-Penutian. 	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. They've broken up Penutian, alone let Macro-Penutian. 	tensor(192.5330)	tensor(201.0642)	Y
20	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. Penutian they've broken up, let alone Macro-Penutian. 	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. Penutian they've broken up, alone let Macro-Penutian. 	tensor(199.7338)	tensor(207.6906)	Y
21	Rabbi Feldstein is even less likely to eat shrimp than Max is. Max won't eat shrimp, let alone Rabbi Feldstein. 	Rabbi Feldstein is even less likely to eat shrimp than Max is. Max won't eat shrimp, alone let Rabbi Feldstein. 	tensor(152.9004)	tensor(162.4939)	Y
22	Minnie is older than Meg. Minnie wasn't born by 1941, let alone Meg. 	Minnie is older than Meg. Minnie wasn't born by 1941, alone let Meg. 	tensor(101.0449)	tensor(108.0124)	Y
23	Bill is even less likely to do it for you than John is. John won't do it for you, let alone Bill. 	Bill is even less likely to do it for you than John is. John won't do it for you, alone let Bill. 	tensor(102.5607)	tensor(109.6269)	Y
24	It was more likely that John would be there than Louise. John wasn't there, let alone Louise.	It was more likely that John would be there than Louise. John wasn't there, alone let Louise.	tensor(92.1457)	tensor(99.9820)	Y
25	It would be even less preferable for Sue to do it than Fred. I didn't want Fred to do it, let alone Sue. 	It would be even less preferable for Sue to do it than Fred. I didn't want Fred to do it, alone let Sue. 	tensor(117.8331)	tensor(126.2961)	Y
26	Louise was more likely to understand it than Susan. Louise surely didn't understand it, let alone Susan. 	Louise was more likely to understand it than Susan. Louise surely didn't understand it, alone let Susan. 	tensor(108.1015)	tensor(117.9891)	Y
27	Louise is more likely to past that test than Susan is. I bet Louise, let alone Susan, couldn't pass that test. 	Louise is more likely to past that test than Susan is. I bet Louise, alone let Susan, couldn't pass that test. 	tensor(142.1115)	tensor(144.8335)	Y
28	He would need to get up even earlier for breakfast than for lunch. He doesn't get up for lunch, let alone breakfast.	He would need to get up even earlier for breakfast than for lunch. He doesn't get up for lunch, alone let breakfast.	tensor(106.9559)	tensor(119.8331)	Y
29	It would be less likely that John speaks Bulgarian than that John speaks Russian. John hardly speaks Russian let alone Bulgarian. 	It would be less likely that John speaks Bulgarian than that John speaks Russian. John hardly speaks Russian alone let Bulgarian. 	tensor(133.1057)	tensor(143.9852)	Y
30	The existence of Macro-Penutian is more contested than the existence of Penutian. The latest results dissolved Penutian let alone didn't support Macro-Penutian.	The existence of Macro-Penutian is more contested than the existence of Penutian. The latest results dissolved Penutian alone let didn't support Macro-Penutian.	tensor(206.2083)	tensor(210.3962)	Y
31	He was further away from Chicago than Denver. He didn't reach Denver, let alone Chicago. 	He was further away from Chicago than Denver. He didn't reach Denver, alone let Chicago. 	tensor(99.6905)	tensor(110.7675)	Y
32	Going running would require more energy than getting up. I'm too tired to get up, let alone go running with you. 	Going running would require more energy than getting up. I'm too tired to get up, alone let go running with you. 	tensor(112.2597)	tensor(120.8268)	Y
33	I could carry more candy than I could eat. She gave me more candy than I could carry, let alone eat.	I could carry more candy than I could eat. She gave me more candy than I could carry, alone let eat.	tensor(85.9011)	tensor(98.0818)	Y
34	Reading that book is less likely than buying it. Only a linguist would buy that book, let alone read it. 	Reading that book is less likely than buying it. Only a linguist would buy that book, alone let read it. 	tensor(111.4992)	tensor(122.4510)	Y
35	I needed to get up earlier for breakfast than for lunch. I barely got up in time for lunch, let alone breakfast. 	I needed to get up earlier for breakfast than for lunch. I barely got up in time for lunch, alone let breakfast. 	tensor(102.7035)	tensor(115.4270)	Y
36	Doing my morning calisthenics requires more energy than getting out of bed. I had all I could do to get out of bed, let alone do my morning calisthenics.	Doing my morning calisthenics requires more energy than getting out of bed. I had all I could do to get out of bed, alone let do my morning calisthenics.	tensor(143.1327)	tensor(155.9628)	Y
37	John would be more likely to pass the test than Bill.  It would surprise me if John could pass the test, let alone Bill. 	John would be more likely to pass the test than Bill.  It would surprise me if John could pass the test, alone let Bill. 	tensor(117.1072)	tensor(126.9109)	Y
38	Getting a B.A. requires more schooling than reaching sixth grade. He failed to reach the sixth grade, let alone get a B.A. 	Getting a B.A. requires more schooling than reaching sixth grade. He failed to reach the sixth grade, alone let get a B.A. 	tensor(132.7813)	tensor(145.3006)	Y
39	Graduate students in math should have a greater ability to solve that poroblem than anyone who'd been to high school. Anyone who'd been to high school, let alone graduate students in math, should be able to solve that problem.	Graduate students in math should have a greater ability to solve that poroblem than anyone who'd been to high school. Anyone who'd been to high school, alone let graduate students in math, should be able to solve that problem.	tensor(218.1333)	tensor(223.9790)	Y
40	You need more material for a semester than a week. You've got enough material there for a whole semester, let alone a week.	You need more material for a semester than a week. You've got enough material there for a whole semester, alone let a week.	tensor(115.0429)	tensor(130.9616)	Y
41	Breaking up Penutian requires breaking up Macro-Penutian Penutian has been broken up, let alone Macro-Penutian.	Breaking up Penutian requires breaking up Macro-Penutian Penutian has been broken up, alone let Macro-Penutian.	tensor(152.8107)	tensor(163.3484)	Y
