Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	I barely got up in time to eat lunch, let alone cook breakfast. I would have needed to get up earlier in order to cook breakfast than to eat lunch.	I barely got up in time to eat lunch, alone let cook breakfast. I would have needed to get up earlier in order to cook breakfast than to eat lunch.	tensor(117.1609)	tensor(134.0204)	Y
2	I doubt you could get Fred to eat shrimp, let alone Louise squid. It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid.	I doubt you could get Fred to eat shrimp, alone let Louise squid. It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid.	tensor(153.1374)	tensor(164.2197)	Y
3	I was too young to serve in World War Two, let alone World War One. I would've needed to be even older to have served in World War One than to have served in World War Two.	I was too young to serve in World War Two, alone let World War One. I would've needed to be even older to have served in World War One than to have served in World War Two.	tensor(134.4836)	tensor(153.0429)	Y
4	Look, around here you can get arrested for going barefoot, let alone for walking around naked. Going barefoot is generally less likely to be a crime than walking around naked.	Look, around here you can get arrested for going barefoot, alone let for walking around naked. Going barefoot is generally less likely to be a crime than walking around naked.	tensor(137.3806)	tensor(152.8548)	Y
5	Don't worry. Little Seymour's parents let him drink whiskey, let alone coke. Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke.	Don't worry. Little Seymour's parents let him drink whiskey, alone let coke. Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke.	tensor(170.9387)	tensor(184.5575)	Y
6	I doubt you could get Fred to eat squid, let alone Louise. Louise is even less likely to eat squid than Fred is.	I doubt you could get Fred to eat squid, alone let Louise. Louise is even less likely to eat squid than Fred is.	tensor(125.2426)	tensor(142.3662)	Y
7	I doubt you could get Fred, let alone Louise, to eat squid. Louise is even less likely to eat squid than Fred is.	I doubt you could get Fred, alone let Louise, to eat squid. Louise is even less likely to eat squid than Fred is.	tensor(132.5446)	tensor(145.2278)	Y
8	My observations warrant the inference that Fred will not eat shrimp, let alone squid. Fred is even less likely to eat squid than he is to eat shrimp.	My observations warrant the inference that Fred will not eat shrimp, alone let squid. Fred is even less likely to eat squid than he is to eat shrimp.	tensor(166.3795)	tensor(179.3257)	Y
9	I doubt he made Colonel in World War II, let alone General. It is even less likely that he made General in World War Two than he made Colonel.	I doubt he made Colonel in World War II, alone let General. It is even less likely that he made General in World War Two than he made Colonel.	tensor(140.5099)	tensor(149.6769)	Y
10	He doesn't like shrimp, let alone squid. Liking shrimp is more common than liking squid.	He doesn't like shrimp, alone let squid. Liking shrimp is more common than liking squid.	tensor(110.7409)	tensor(123.7348)	Y
11	Who could imagine such a thing, let alone do it? Doing such a thing would be even more unbelievable than imagining it.	Who could imagine such a thing, alone let do it? Doing such a thing would be even more unbelievable than imagining it.	tensor(101.4872)	tensor(115.3800)	Y
12	I don't even want to read an article about, let alone a book written by, that swine. I would want to read a book written by that swine even less than I would want to read an article about them.	I don't even want to read an article about, alone let a book written by, that swine. I would want to read a book written by that swine even less than I would want to read an article about them.	tensor(139.7999)	tensor(162.0903)	Y
13	You couldn't get John to touch it, let alone Lucille to eat it. Getting Lucille to eat it would be even more challenging than getting John to touch it.	You couldn't get John to touch it, alone let Lucille to eat it. Getting Lucille to eat it would be even more challenging than getting John to touch it.	tensor(125.3390)	tensor(137.9668)	Y
